# This file is automatically generated, do not edit.
#
# The format of the data in this table is as follows:
#
# char zh big5 hkscs zhuyin kanji hiragana katakana punct symbol cj3_codes cj5_codes frequency

∽ 0 0 0 0 0 0 0 0 1 ! yyydk 0
≒ 0 0 0 0 0 0 0 0 1 yyydi yyydi 0
≠ 0 0 0 0 0 0 0 0 1 yyyde yyyde 0
≡ 0 0 0 0 0 0 0 0 1 yyydj yyydj 0
≦ 0 0 0 0 0 0 0 0 1 yyydc yyydc 0
≧ 0 0 0 0 0 0 0 0 1 yyydd yyydd 0
⊕ 0 0 0 0 0 0 0 0 1 yyyca yyyca 0
⊙ 0 0 0 0 0 0 0 0 1 yyybm yyybm 0
⊿ 0 0 0 0 0 0 0 0 1 yyydo yyydo 0
① 0 0 0 0 0 0 0 0 1 ! yyyha,zbc 0
② 0 0 0 0 0 0 0 0 1 ! yyyhb,zbc 0
③ 0 0 0 0 0 0 0 0 1 ! yyyhc,zbc 0
④ 0 0 0 0 0 0 0 0 1 ! yyyhd,zbc 0
⑤ 0 0 0 0 0 0 0 0 1 ! yyyhe,zbc 0
⑥ 0 0 0 0 0 0 0 0 1 ! yyyhf,zbc 0
⑦ 0 0 0 0 0 0 0 0 1 ! yyyhg,zbc 0
⑧ 0 0 0 0 0 0 0 0 1 ! yyyhh,zbc 0
⑨ 0 0 0 0 0 0 0 0 1 ! yyyhi,zbc 0
⑩ 0 0 0 0 0 0 0 0 1 ! yyyhj,zbc 0
⑴ 0 0 0 0 0 0 0 0 1 ! yyyhk,zbb 0
⑵ 0 0 0 0 0 0 0 0 1 ! yyyhl,zbb 0
⑶ 0 0 0 0 0 0 0 0 1 ! yyyhm,zbb 0
⑷ 0 0 0 0 0 0 0 0 1 ! yyyhn,zbb 0
⑸ 0 0 0 0 0 0 0 0 1 ! yyyho,zbb 0
⑹ 0 0 0 0 0 0 0 0 1 ! yyyhp,zbb 0
⑺ 0 0 0 0 0 0 0 0 1 ! yyyhq,zbb 0
⑻ 0 0 0 0 0 0 0 0 1 ! yyyhr,zbb 0
⑼ 0 0 0 0 0 0 0 0 1 ! yyyhs,zbb 0
⑽ 0 0 0 0 0 0 0 0 1 ! yyyht,zbb 0
⑾ 0 0 0 0 0 0 0 0 1 ! zbb 0
⑿ 0 0 0 0 0 0 0 0 1 ! zbb 0
⒀ 0 0 0 0 0 0 0 0 1 ! zbb 0
⒁ 0 0 0 0 0 0 0 0 1 ! zbb 0
⒂ 0 0 0 0 0 0 0 0 1 ! zbb 0
⒃ 0 0 0 0 0 0 0 0 1 ! zbb 0
⒄ 0 0 0 0 0 0 0 0 1 ! zbb 0
⒅ 0 0 0 0 0 0 0 0 1 ! zbb 0
⒆ 0 0 0 0 0 0 0 0 1 ! zbb 0
⒇ 0 0 0 0 0 0 0 0 1 ! zbb 0
⒈ 0 0 0 0 0 0 0 0 1 ! zba 0
⒉ 0 0 0 0 0 0 0 0 1 ! zba 0
⒊ 0 0 0 0 0 0 0 0 1 ! zba 0
⒋ 0 0 0 0 0 0 0 0 1 ! zba 0
